Row Type,Campaign,Ad Group,Status,Campaign Type,Budget,Bid Strategy Type,Target Google Search,Target Search Network,Target Content Network,Language,Location,Keyword,Match Type,Max CPC,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2
Campaign,[EN] West Africa Search,,Enabled,Search Network only,15,Manual CPC,TRUE,FALSE,FALSE,English,"Ghana;Sierra Leone;Liberia;Gambia",,,,,,,,,,,,
Campaign,[FR] West Africa Search,,Enabled,Search Network only,10,Manual CPC,TRUE,FALSE,FALSE,French,"Cote d'Ivoire;Senegal;Cameroon;Benin;Togo",,,,,,,,,,,,
Campaign,[AR] North Africa Search,,Enabled,Search Network only,10,Manual CPC,TRUE,FALSE,FALSE,Arabic,"Morocco;Algeria;Tunisia;Egypt",,,,,,,,,,,,
Ad group,[EN] West Africa Search,Toyota Corolla,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[EN] West Africa Search,Honda CR-V Accord,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[EN] West Africa Search,Honda Civic Fit,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[EN] West Africa Search,Hyundai ix35 Tucson,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[EN] West Africa Search,Hyundai Elantra Sonata,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[EN] West Africa Search,Nissan Qashqai X-Trail,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[EN] West Africa Search,Half Cut General,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[FR] West Africa Search,Toyota Corolla FR,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[FR] West Africa Search,Honda CR-V FR,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[FR] West Africa Search,Hyundai FR,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[FR] West Africa Search,Half Cut FR,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[AR] North Africa Search,Toyota AR,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[AR] North Africa Search,Honda AR,Enabled,,,,,,,,,,,,,,,,,,,,
Ad group,[AR] North Africa Search,Half Cut AR,Enabled,,,,,,,,,,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Corolla,Enabled,,,,,,,,,+toyota +corolla +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Corolla,Enabled,,,,,,,,,+1ZR +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Corolla,Enabled,,,,,,,,,+corolla +half +cut +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Corolla,Enabled,,,,,,,,,"toyota corolla engine ghana",Phrase Match,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Corolla,Enabled,,,,,,,,,+2ZR +engine +ghana,Broad Match Modified,1.20,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Corolla,Enabled,,,,,,,,,+used +corolla +engine +for +sale,Broad Match Modified,1.20,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,+toyota +camry +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,+2AZ +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,+camry +half +cut +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,+toyota +rav4 +engine +ghana,Broad Match Modified,1.20,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,+1AZ +engine +ghana,Broad Match Modified,1.20,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,+land +cruiser +prado +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Toyota Camry RAV4,Enabled,,,,,,,,,+1GR +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Honda CR-V Accord,Enabled,,,,,,,,,+honda +crv +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
Keyword,[EN] West Africa Search,Honda CR-V Accord,Enabled,,,,,,,,,+R20A +engine +ghana,Broad Match Modified,1.50,,,,,,,,,,,
