Campaign,Ad group,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Description 1,Description 2
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=%7Bkeyword%7D,corolla,engine,Toyota Corolla Engine Ghana,2007-2013 — Real China Stock,China Sourced · Ghana Pickup,Send Model And Year,1ZR Engine Available,Customs Cleared · Accra,Real Inventory Photos,"Looking for a Corolla engine? We source used stock from China, ship it and clear customs. Collect in Ghana.","Browse Corolla engines at asia-power.com. Send model, year and destination for matching stock."
GH_Search_Engines_HighIntent,Camry Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=camry_engine&utm_term=%7Bkeyword%7D,camry,engine,Toyota Camry Engine Ghana,2007 2009 2010 — Used Stock,China to Ghana · Pickup Ready,Send Model And Year,1AZ · 2AZ Engines,Customs Cleared · Accra,Ship To Ghana,"Need a Camry engine? We source real used stock from China and deliver to our Ghana office.","Browse Camry engines at asia-power.com. Collect in Ghana. Send model and year for quote."
GH_Search_Engines_HighIntent,Vitz Yaris Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=vitz_yaris_engine&utm_term=%7Bkeyword%7D,vitz,engine,Toyota Vitz Engine Ghana,Yaris · 1NZ · 2NZ Stock,China Sourced · Ghana Pickup,Send Model And Year,Real Inventory Photos,Customs Cleared · Accra,AsiaPower Ghana,"Used Vitz and Yaris engines from China. We handle shipping and customs clearance to Ghana.","Browse Vitz engines at asia-power.com. Ghana office pickup. Send model and year."
GH_Search_Engines_HighIntent,Toyota RAV4 Prado Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=toyota_rav4_prado_engine&utm_term=%7Bkeyword%7D,rav4,parts,RAV4 and Prado Engine Ghana,RAV4 2009 · Prado Stock,China Sourced · Ghana Pickup,Send Model And Year,Shipped · Cleared · Accra,Real Inventory Photos,AsiaPower Ghana,"Used Toyota RAV4 and Land Cruiser Prado parts from China. We handle shipping and customs.","Browse RAV4 and Prado stock at asia-power.com. Ghana office pickup. Send model and year."
GH_Search_Engines_HighIntent,Hyundai Kia SUV Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=hyundai_kia_suv_engine&utm_term=%7Bkeyword%7D,ix35,engine,Hyundai ix35 Engine Ghana,Tucson · ix35 2010 2012 Stock,Shipped · Cleared · Ghana Pickup,Send Model And Year,G4KD · G4NA Engines,Real Inventory Photos,AsiaPower Ghana,"Looking for ix35 or Tucson engine? Used stock from China. Shipping and customs handled for you.","Browse ix35 stock at asia-power.com. Ghana office pickup. Send model and year."
GH_Search_Engines_HighIntent,Hyundai Kia Sedan Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=hyundai_kia_sedan_engine&utm_term=%7Bkeyword%7D,elantra,engine,Hyundai Elantra Engine Ghana,Sonata · Elantra · Santa Fe,China Sourced · Ghana Pickup,Send Model And Year,G4FC Engine Available,Customs Cleared · Accra,Real Inventory Photos,"Used Hyundai Elantra Sonata engines from China. We handle shipping and customs to Ghana.","Browse Hyundai stock at asia-power.com. Collect in Ghana. Send model and year."
GH_Search_Engines_HighIntent,Nissan Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=nissan_engine&utm_term=%7Bkeyword%7D,qashqai,engine,Nissan Qashqai Engine Ghana,X-Trail · Qashqai 2008 2010,China Sourced · Ghana Pickup,Send Model And Year,HR16 · QR25 Engines,Customs Cleared · Accra,Real Inventory Photos,"Looking for Qashqai or X-Trail engine? Used stock from China. All shipping and customs handled.","Browse Nissan stock at asia-power.com. Ghana office pickup. Send model and year."
GH_Search_Engines_HighIntent,Honda CR-V Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=honda_crv_engine&utm_term=%7Bkeyword%7D,crv,engine,Honda CR-V Engine Ghana,2007 2008 2009 2010 Stock,China Sourced · Ghana Pickup,Send Model And Year,Real Inventory Photos,Customs Cleared · Accra,Ship To Ghana,"Looking for a CRV engine? We source used stock from China — ship it and clear customs for you.","Browse CR-V engines at asia-power.com. Ghana office pickup. Send model and year."
GH_Search_Engines_HighIntent,Honda Accord Civic Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=honda_accord_civic_engine&utm_term=%7Bkeyword%7D,honda,engine,Honda Accord and Civic Ghana,2008 2009 2010 · K24 Stock,China to Ghana · Pickup Ready,Send Model And Year,Real Inventory Photos,Customs Cleared · Accra,AsiaPower Ghana,"Need an Accord or Civic engine? Used stock from China. We handle shipping and customs clearance.","Browse Honda engines at asia-power.com. Collect in Ghana. Send model and year."
GH_Search_Gearboxes_HighIntent,Corolla Gearbox,Paused,Responsive search ad,https://asia-power.com/gearboxes/?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_gearboxes_highintent&utm_content=corolla_gearbox&utm_term=%7Bkeyword%7D,gearbox,ghana,Gearboxes For Ghana,Corolla Gearbox Ghana,AT MT CVT Available,"China Stock, Ghana Pickup",Send Model And Year,Customs Cleared · Accra,AsiaPower Ghana,"Find used gearboxes from China stock. Send vehicle model, year and gearbox type for matching.","We help Ghana buyers source, ship and clear used gearboxes from China."
